Date,Open,High,Low,Close,Adj Close,Volume
1997-07-25,13.373508,13.493977,13.143632,13.307843,7.636238,388129
1997-07-28,13.829693,13.829693,12.953936,13.300570,7.632065,512834
1997-07-29,13.227561,13.373508,13.231200,13.282300,7.621581,291447
1997-07-30,13.464781,13.501257,13.355309,13.482987,7.736739,456787
1997-07-31,13.501257,13.592465,13.391778,13.391778,7.684402,521241
1997-08-01,13.245831,13.574266,12.902836,12.990405,7.454089,542259
1997-08-04,13.209362,13.282300,12.497751,12.676600,7.274022,758042
1997-08-05,12.734979,13.099883,12.734979,13.081613,7.506423,668366
1997-08-06,12.877286,13.227561,12.877286,13.063336,7.495936,494619
1997-08-07,13.245831,13.410049,13.085253,13.103523,7.518998,595504
1997-08-08,12.884559,13.063336,12.552491,13.026867,7.475009,630534
1997-08-11,12.771448,13.278660,12.589031,13.063336,7.495936,402140
1997-08-12,13.242191,13.337039,13.026867,13.282300,7.621581,483409
1997-08-13,13.107163,13.428248,13.008675,13.132713,7.535745,1139165
1997-08-14,13.063336,13.099883,12.771448,12.826187,7.359857,438571
1997-08-15,12.899196,12.913756,12.428453,12.428453,7.131631,554870
1997-08-18,11.968693,12.826187,11.859222,12.807917,7.349371,774856
1997-08-19,12.953936,13.245831,12.771448,13.245831,7.600656,769252
1997-08-20,13.373508,13.537726,13.373508,13.391778,7.684402,191962
1997-08-21,13.647197,13.720214,13.581546,13.683674,7.851894,596906
1997-08-22,13.209362,13.318840,12.997684,13.227561,7.590170,1151776
1997-08-25,13.391778,13.391778,13.391778,13.391778,7.684402,7005
1997-08-26,14.048578,14.231059,13.172821,13.647197,7.830964,5516477
1997-08-27,13.720214,13.866162,13.282300,13.355309,7.663475,3266169
1997-08-28,13.756683,14.048578,13.191092,13.318840,7.642549,9979260
1997-08-29,13.260383,13.428248,13.099883,13.245831,7.600656,926185
1997-09-01,12.913756,13.172821,12.738611,12.844450,7.370335,2401636
1997-09-02,12.913756,13.136352,12.913756,13.096244,7.514818,2091973
1997-09-03,13.300570,13.537726,13.136352,13.300570,7.632065,3937338
1997-09-04,13.264101,13.632646,13.154623,13.537726,7.768148,2924279
1997-09-05,13.610728,13.909910,13.501257,13.833332,7.937773,2946698
1997-09-08,13.501257,13.866162,13.501257,13.749396,7.889608,1775305
1997-09-09,13.585186,13.796792,13.537726,13.683674,7.851894,1691233
1997-09-10,13.683674,13.720214,13.143632,13.264101,7.611139,1649198
1997-09-11,13.026867,13.202011,12.589031,12.589031,7.223773,2962111
1997-09-12,12.734979,12.983118,12.406543,12.406543,7.119059,3493161
